id,vendor_id,service_name,category,category_id,category_legacy,description,price,duration_minutes,address,city,state,postal_code,latitude,longitude,available_from_time,available_to_time,is_available,is_featured,approval_status,approval_reason,rejection_reason,average_rating,total_reviews,is_active,created_at,updated_at,deleted_at
1,1,Laptop Service,IT & Software,6,,Laptop Service provided by experienced technicians.,499.00,45,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,true,false,APPROVED,,,4.00,3,true,45753,45933,
2,1,Software Install,IT & Software,6,,Software Install provided by experienced technicians.,799.00,45,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,false,false,APPROVED,,,0.00,0,true,45415,45550,
3,1,WiFi Setup,IT & Software,6,,WiFi Setup provided by experienced technicians.,699.00,120,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,false,true,APPROVED,,,4.50,2,true,45361,45716,
4,1,Software Install,IT & Software,6,,Software Install provided by experienced technicians.,599.00,90,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,false,false,APPROVED,,,0.00,0,true,45671,45955,
5,1,CCTV Installation,IT & Software,6,,CCTV Installation provided by experienced technicians.,399.00,90,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,true,true,APPROVED,,,4.50,4,true,45652,45898,
6,1,Data Recovery,IT & Software,6,,Data Recovery provided by experienced technicians.,3000.00,60,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,true,true,APPROVED,,,0.00,0,true,45896,45913,
7,1,Software Install,IT & Software,6,,Software Install provided by experienced technicians.,699.00,60,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,true,false,APPROVED,,,5.00,1,true,45688,45747,
8,1,Software Install,IT & Software,6,,Software Install provided by experienced technicians.,1999.00,30,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,true,true,APPROVED,,,4.00,1,true,45768,45958,
9,1,Computer Repair,IT & Software,6,,Computer Repair provided by experienced technicians.,2500.00,60,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,true,false,APPROVED,,,4.00,1,true,45864,45899,
10,1,CCTV Installation,IT & Software,6,,CCTV Installation provided by experienced technicians.,399.00,45,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,false,false,APPROVED,,,4.50,2,true,45502,45878,
11,1,Network Setup,IT & Software,6,,Network Setup provided by experienced technicians.,699.00,45,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,true,true,APPROVED,,,5.00,1,true,45869,45918,
12,1,Laptop Service,IT & Software,6,,Laptop Service provided by experienced technicians.,799.00,30,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,true,true,APPROVED,,,5.00,1,true,45470,45751,
13,1,WiFi Setup,IT & Software,6,,WiFi Setup provided by experienced technicians.,699.00,30,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,true,false,APPROVED,,,0.00,0,true,45353,45662,
14,1,Printer Repair,IT & Software,6,,Printer Repair provided by experienced technicians.,1499.00,30,,Mumbai,Maharashtra,400023,19.0602,72.9099,09:00:00,18:00:00,true,false,APPROVED,,,4.67,3,true,45765,45772,
